시설,lat,lon
화성-반송-반송 243호,37.19963996,127.0623204
화성-반송-반송 245호,37.19921201,127.0639237
화성-반송-반송 246호,37.21145401,127.066073
화성-반송-반송 247호,37.2102152,127.0694525
화성-반송-반송 248호,37.20990169,127.0676316
화성-반송-반송 249호,37.20913445,127.067024
화성-반송-반송 250호,37.21075078,127.0665959
화성-반송-반송 251호,37.20810087,127.0641994
화성-태안-태안 141호,37.21937476,127.0373538
화성-태안-태안 142호,37.20880322,127.0355363
화성-태안-태안 143호,37.22231745,127.0136313
화성-태안-태안 145호,37.22921326,127.064619
화성-태안-태안 146호,37.22068117,126.9868719
화성-태안-태안 183호,37.2244631,127.0637295
화성-태안-태안 185호,37.21363954,127.0531901
화성-태안-태안 186호,37.21121426,127.0578589
화성-태안-태안 650호,37.20503502,127.0377569
화성-태안-태안 659호,37.21013861,127.0335784
화성-태안-태안 660호,37.2050571,127.0150527
화성-팔탄-화성소방서 646호,37.13714822,126.8641835
화성-팔탄-팔탄 637호,37.17753353,126.9077016
화성-팔탄-팔탄 77호,37.15553071,126.8991137
화성-팔탄-화성소방서 649호,37.15674504,126.9281322
화성-팔탄-팔탄 72호,37.16218853,126.9039341
화성-팔탄-팔탄 73호,37.16298393,126.9066579
화성-팔탄-팔탄 74호,37.16072922,126.9041258
화성-팔탄-팔탄 76호,37.16112745,126.9079991
화성-팔탄-화성소방서 477호,37.15669359,126.8664074
화성-향남-향남 02호,37.13164362,126.9100956
화성-향남-향남 03호,37.13364476,126.9046873
화성-향남-향남 04호,37.13911364,126.9005798
화성-향남-향남 06호,37.12981729,126.9000227
화성-향남-향남 07호,37.12990092,126.900673
화성-향남-향남 08호,37.1286702,126.9020528
화성-향남-향남 10호,37.12999543,126.9049635
화성-향남-향남 11호,37.13103475,126.9037057
화성-향남-향남 14호,37.13010915,126.9021598
화성-향남-향남 15호,37.13797411,126.9129123
화성-향남-향남 16호,37.09114586,126.9142805
화성-향남-향남 18호,37.09137531,126.9151114
화성-향남-향남 19호,37.09017336,126.9126677
화성-남양-04호,37.19775457,126.7466687
화성-남양-5호,37.20989665,126.8181449
화성-향남-2호,37.13210583,126.9087861
화성-향남-1호,37.13215937,126.9068718
화성-반송-반송 210호,37.2188818,127.0791958
화성-반송-반송 216호,37.21133448,127.0728361
화성-반송-반송 222호,37.2090095,127.0792611
화성-태안-태안 123호,37.21115215,127.0485614
화성-태안-태안 127호,37.20846861,127.0445429
화성-태안-태안 131호,37.20993662,127.0418743
화성-태안-태안 135호,37.21968031,127.0371152
